,release_date,title,production_cost,domestic_gross,worldwide_gross,opening_weekend,mpaa,genre,theaters,runtime,year,duration,country,directors,avg_vote,critics_vote,public_vote,description
0,2019-04-23,Avengers: Endgame,400000000,858373000,2797800564,357115007,PG-13,Action,4662,181,2019,181.0,United States,"Anthony Russo, Joe Russo",6.2,6.33,6.0,"Half of the living beings in the universe were wiped out by the events unleashed by Thanos, which also affected the Avengers team. A single future now seems possible but the Avengers and their superhero allies will try to undo the destructive power of the Infinity Gems."
1,2015-04-22,Avengers: Age of Ultron,365000000,459005868,1395316979,191271109,PG-13,Action,4276,141,2015,142.0,United States,Joss Whedon,5.8,5.83,6.0,"The US government has created a new robot known as Ultron and decides that the help of the Avengers is no longer needed. But when Ultron turns against humanity and its creators, it is time for the ""avengers"" to team up again and face the most dangerous challenge ever."
2,2018-04-25,Avengers: Infinity War,300000000,678815482,2048359754,257698183,PG-13,Action,4474,156,2018,156.0,United States,"Anthony Russo, Joe Russo",6.8,7.11,7.0,The Avengers and their allies must be prepared to sacrifice everything in an attempt to defeat the mighty Thanos before his onslaught of devastation and doom brings the universe to an end.
3,2017-11-13,Justice League,300000000,229024295,655945209,93842239,PG-13,Action,4051,121,2017,121.0,United States,Zack Snyder,5.1,5.14,5.0,"Moved by newfound faith in mankind and inspired by Superman's selfless deeds, Bruce Wayne enlisted the help of ally Diana Prince to face a recently awakened arch enemy. Together, Batman and Wonder Woman work hard to find and recruit the members of a team of metahumans. Despite the formation of an unprecedented team of heroes, it may be too late to save planet Earth from an attack of catastrophic proportions."
4,2015-10-06,Spectre,300000000,200074175,879500760,70403148,PG-13,Action,3929,148,2015,148.0,"United States, Great Britain",Sam Mendes,6.1,6.38,6.0,"A cryptic message from his past sends James Bond (Daniel Craig) on ??a mission first to Mexico City and then to Rome, where he meets Lucia Sciarra (Monica Bellucci), the beautiful and forbidden widow of an infamous criminal. By infiltrating a secret encounter, Bond discovers the existence of a dangerous organization known as SPECTER. Meanwhile in London Max Denbigh (Andrew Scott), the new head of the national security center, questions Bond's work and challenges the importance of MI6, led by M (Ralph Fiennes). Bond also secretly enlists Moneypenny (Naomie Harris) and Q (Ben Whishaw) to help him track down who and what is behind SPECTER. A search that passes through Madeleine Swann (Léa Seydoux), the daughter of the old enemy White (Jesper Christensen), who may have the key to untangling the organization's network."
5,2019-12-18,Star Wars: The Rise of Skywalker,275000000,515202542,1072848487,177383864,PG-13,Adventure,4406,142,2019,142.0,United States,J.J. Abrams,5.6,5.31,6.0,The Skywalker saga comes to an end. New legends will arise and the final battle for freedom will take place.
6,2012-03-07,John Carter,263700000,73058679,282778100,30180188,PG-13,Adventure,3749,132,2012,132.0,United States,Andrew Stanton,5.4,5.53,5.0,"Confederate soldier John Carter (Taylor Kitsch) wakes up with no apparent explanation on the planet Mars. It is located in a desert land and populated by two different races of creatures: the giant, warmongering Green Martians and the peaceful Red Martians, who have always been fighting for power. Escaped from the clutches of the former, who had captured him, John meets Princess Dejah (Lynn Collins), who desperately needs to find a savior for her kingdom of red Martians, and has agreed to put his forces in the service of a new and epic conflict."
7,2016-03-23,Batman v Superman: Dawn of Justice,263000000,330360194,872395091,166007347,PG-13,Action,4256,151,2016,151.0,United States,Zack Snyder,5.1,5.11,5.0,"Fearing the actions of a superhero who is almost a god and who has remained uncontrolled for too long, the formidable and powerful vigilante of Gotham City faces the revered and contemporary savior of Metropolis, as the world tries to understand what kind of hero he really is. need. And as Batman and Superman are at war with each other, a new threat quickly emerges, putting all of humanity in greater danger than anyone they have known to date."
8,2019-07-11,The Lion King,260000000,543638043,1647778651,191770759,PG,Adventure,4802,118,1994,88.0,United States,"Roger Allers, Rob Minkoff",7.6,7.24,8.0,"Simba is a lion cub living in the African savannah. Feeling accused of the death of his father Mafusa leaves his pack to inflict voluntary exile. Having grown up, he returns to his family, ready to face the evil Scar, the real responsible for his father's death."
9,2019-07-11,The Lion King,260000000,543638043,1647778651,191770759,PG,Adventure,4802,118,2019,118.0,United States,Jon Favreau,5.9,5.75,6.0,"Believed to be responsible for the death of his father, King Mufasa, the little lion Simba is removed from the kingdom of lions by the machinations of the evil uncle Scar. He will come back later to take back his rightful place."
10,2010-11-24,Tangled,260000000,200821936,583777242,48767052,PG,Musical,3603,101,2001,100.0,United States,Jay Lowi,4.5,5.0,4.0,"A young man is found wounded and beaten up on an isolated street. As the police try to reconstruct what happened to them, the twisted relationship created between a young woman and her two suitors emerges."
11,2010-11-24,Tangled,260000000,200821936,583777242,48767052,PG,Musical,3603,101,2010,94.0,United States,"Byron Howard, Nathan Greno",7.2,7.39,7.0,"Comic reinterpretation of the classic tale of the Brothers Grimm, it tells the funny adventures of Rapunzel, a beautiful and young princess with long magical hair. Forced to live in the tall tower in which she has been locked up since birth, the blonde Rapunzel will attempt a dangerous and eventful escape, chased by her stubborn jailer and aided by a charming bandit."
12,2007-05-04,Spider-Man 3,258000000,336530303,894860230,151116516,PG-13,Adventure,4324,139,2007,156.0,United States,Sam Raimi,6.0,5.91,6.0,"The Spider-Man costume turns black and Peter Parker himself transforms, becoming very confident and starting to neglect the people who are dear to him. Peter thus finds himself having to fight against his own demons and - at the same time - against two fearsome enemies: the Sandman and Venom ..."
13,2016-04-22,Captain America: Civil War,250000000,408084349,1151918521,179139142,PG-13,Action,4226,146,2016,147.0,United States,"Anthony Russo, Joe Russo",6.1,5.81,6.0,"Steve Rogers and the Avengers are forced to deal with the collateral damage caused by their struggle to protect the world. After the city of Laos, Nigeria, is hit by yet another international incident involving the Avengers, political pressure is clamoring for a system of accountability and a board of directors to decide when to request the intervention of the team. This new dynamic divides the Avengers who, at the same time, try to protect the world from a new and evil adversary."
14,2022-07-01,Thor: Love and Thunder,250000000,343256830,745453552,144165107,PG-13,Action,4375,119,2022,119.0,United States,Taika Waititi,4.8,4.58,5.0,"Thor's search towards an inner peace dimension is interrupted by the arrival of the Galactic killer Gorr the God Butcher, devoted to destroying all the gods. Thor will thus join him with Valchiria, Korg and the ex-Fidanzata Jane Foster who will show him the uniqueness of him. Together they will leave for a mission aimed at finding out what Gorr's drawing is and what is reasons and to stop it before it's too late."
15,2009-07-15,Harry Potter and the Half-Blood Prince,250000000,302089278,929411069,77835727,PG,Adventure,4455,153,2009,153.0,"Great Britain, United States",David Yates,6.3,6.5,6.0,"Harry Potter is now in its sixth year at Hogwarts. He and his longtime friends - Ron and Hermione - suspect that Draco Malfoy has become a Death Eater and is plotting in the shadows. In the first Potions class, Harry comes into possession of a used book, which belonged to the mysterious Half-Blood Prince and, following his handwritten notes, he succeeds splendidly in the experiments ..."
16,2013-12-12,The Hobbit: The Desolation of Smaug,250000000,258241522,959358436,73645197,PG-13,Adventure,3928,201,2013,170.0,"United States, New Zealand",Peter Jackson,6.4,6.3,7.0,"After managing to escape the misty mountains, Bilbo Baggins (Martin Freeman) continues his journey to recover the lost kingdom of Erebor. Accompanying him are the wizard Gandalf (Ian McKellen) and Thorin Oakenshield (Richard Armitage), head of the company of the thirteen dwarves."
17,2014-12-10,The Hobbit: The Battle of the Five Armies,250000000,255119788,940389558,54724334,PG-13,Adventure,3875,144,2014,144.0,"New Zealand, United States",Peter Jackson,6.4,6.35,6.0,"After defeating the dragon Smaug and regaining possession of his kingdom, Thorin Oakenshield is blinded by greed and the fear of losing what he regained his possession. By failing to keep some promises made along the way, he will unleash the wrath of his creditors and pave the way for an unprecedented battle in Middle-earth."
18,2017-04-07,The Fate of the Furious,250000000,225764765,1236703796,98786705,PG-13,Action,4329,136,2017,136.0,"United States, Japan, France, Canada, American Samoa",F. Gary Gray,4.8,4.71,5.0,"Dom and Letty are on their honeymoon while Brian and Mia have retired from the games (and the rest of their crew have been sacked). Everyone seems to have found a semblance of normal life but, when a mysterious woman seduces Dom by introducing him to a criminal world that leaves no way out, they will soon find themselves facing challenges that will challenge them like never before. From the shores of Cuba and the streets of New York to the arctic expanses of the Barents Sea, the group will cross half the globe to stop someone ready to wreak havoc on the world and to bring home the one who made them a family."
19,2021-09-29,No Time to Die,250000000,160891007,760008036,55225007,PG-13,Action,4407,163,2021,163.0,"United States, Great Britain",Cary Fukunaga,6.5,6.35,7.0,"James Bond has left the secret services and enjoys a quiet life in Jamaica. The peace of him, however, does not last: soon, in the presence of him the old friend Felix Leiter, the CIA agent, asking for help. The mission aimed at saving a kidnapped scientist will prove to be much more insidious than expected and will bring bonds on the trail of a mysterious criminal armed with a new dangerous technology."
20,2009-12-17,Avatar,237000000,785221649,2910370905,77025481,PG-13,Action,3461,162,2009,162.0,United States,James Cameron,7.1,6.88,7.0,"Jake Sully is a former marine disabled in battle, who is sent to the planet Pandora, 44 light years from Earth, on an exploration mission. The atmosphere on the site is unbreathable, so avatars have been created, piloted from within the human base and identical to the population of the Na'vi, the humanoids who live on Pandora. However, the mission is not guided only by the thirst for knowledge: on Pandora there are in fact precious reserves of energy, necessary for the Earth, brought to its knees by an ecological catastrophe. The natives, however, are not there and rebel against colonization: Jake's task, through his avatar, will be to be able to get to know them and find out how to be accepted by them and then subdue them. But exploration opens up new perspectives ..."
21,2006-06-28,Superman Returns,232000000,200120000,391081192,52535096,PG-13,Adventure,4065,150,2006,154.0,United States,Bryan Singer,5.5,5.35,6.0,"Superman returns after six long years of absence in which he went in search of his home planet. The return is not easy: Lois Lane has a son and lives happily with Richard White, as well as having won the Pulitzer Prize with the article: ""Why the world does not need Superman"". Meanwhile, Lex Luthor, his historical enemy, has been released from prison and is about to implement his diabolical plan: to use kryptonite to permanently eliminate Superman and create a new world ..."
22,2012-07-19,The Dark Knight Rises,230000000,448139099,1082228107,160887295,PG-13,Action,4404,164,2012,165.0,"United States, Great Britain",Christopher Nolan,6.9,7.08,7.0,"It's been a few years since Bruce Wayne (Christian Bale) donned the Batman mask for the last time but his voluntary retirement from the scene is interrupted when Commissioner Gordon (Gary Oldman) uncovers a plot to destroy the inside. city ??of Gotham City. The new enemies, which Batman will have to face, are the mysterious Selina Kyle (Anne Hathaway) and the lethal Bane (Tom Hardy)."
23,2008-11-14,Quantum of Solace,230000000,169368427,591692078,67528882,PG-13,Action,3501,106,2008,106.0,"Great Britain, United States",Marc Forster,6.0,5.81,6.0,"Her Majesty's secret agent tries to uncover the truth about the mysterious Vesper, the woman he trusted (and fell in love with) and who betrayed him. His mission, which in many evident ways risks involving him too much on a personal level, will take him to Italy, Austria and South America, on the trail of the organization to which Vesper belongs, whose criminal plan is much broader and more dangerous than it is. could imagine."
24,2012-04-25,The Avengers,225000000,623357910,1515100211,207438708,PG-13,Action,4349,143,1998,88.0,United States,Jeremiah Chechik,3.9,3.71,4.0,"London, 1990s. Someone is changing the climate and bringing the country and the world to its knees. Who could have come up with a similar plan that aims to blackmail humanity in exchange for a few hours of sunshine? All suspicions are directed at Sir August De Wynter, a very rich and extravagant man. John Steed and Emma Peel intervene to try to resolve the situation."
25,2012-04-25,The Avengers,225000000,623357910,1515100211,207438708,PG-13,Action,4349,143,2012,142.0,United States,Joss Whedon,6.6,6.59,7.0,"Due to the dark plots hatched by the fearsome Loki, Nick Fury (Samuel L. Jackson), the director of the international peace agency SHIELD, finds himself facing a new threat that risks endangering the earth's future and survival. of all humanity. To avoid the apocalyptic scenario, he then decides to summon a crisis unit, made up of superheroes such as Iron Man (Robert Downey Jr.), Hulk (Mark Ruffalo), Thor (Chris Hemsworth) and Captain America (Chris Evans), and to entrust them with the delicate enterprise."
